fragmento,genero,emocion
"Y le revelo (Duro), le puse en los ojos un pañuelo Tenía ropa interior de terciopelo (Duro)",,P
Todavía en mis sabanas encuentro tus cabello' Yo sé que tú no superas cuando te muerdo el cuello,,P
Si él supiera que tú nos divide' en el calendario Loba sin dueño no tiene horario,,P
Tú te has convertido en un mal necesario Y él se come tu cuento,,P
"Lo que tú le digas como un niño te lo cree (Ajá) Y yo disfruto de tu piel, viviéndome el momento Aullando como loba (Auuh-uh-uh, yeah)",,P
Así quién no te perdona Si mi cama te añora Cualquiera se enamora (Auuh-uh-uh),,P
Si paso una noche contigo,,P
Y le haces lo que haces conmigo,,N
Aullando como loba Seguramente en este momento te estás preguntando cómo lo hacen,,P
Cualquiera se enamora Jajajaja,,P
"Bebecita (Bebé) Bebecita (Uah) Bebecita Lo de nosotro' e' un secreto, que nadie se entere (Uah)",,P
"Baby, yo siempre me vengo contigo cuando tú te viene'",,P
Pa' to' el mundo somos amigo' y lo hacemo' escondido',,N
"Y yo solo en mi cama, Dios es el testigo",,P
Lo de nosotros es un secreto,,N
Pero siempre nos vemos Y todo mundo habla de nosotros,,P
"Pero siempre nos comemos Y tú me hiciste enloquecer, yeh eh Y contigo me siento bien, yeh eh",,P
Nadie nunca lo va saber Que tú eres mi mujer,,P
Y nadie juntos nos quiere ver Pero nos vamos a esconder,,P
Te hago el amor bien rico Y te aprieto la mano,,P
"Bebé, ya son como las cuatro y pico Pero pa'l sexo es temprano Baby, conmigo tú te sientes vivo",,P
Pero siempre nos matamos (No-oh),,N
"Los secretos siempre se saben Baby, tarde o temprano",,P
Nuestro amor es un secreto Pero siempre nos vemos (Bebé),,P
"Y todo mundo habla de nosotros Pero siempre nos comemos (Bebé, uah uah)",,P
"Y tú me hiciste enloquecer, yeh eh Y contigo me siento bien, yeh eh",,P
Y nadie nunca lo va a saber Que yo soy tu mujer,,P
Y contigo no me quieren ver,,N
Pero nos vamos a esconder,,P
"Imposible el celibato, yo te maltrato",,N
Y de tu cuerpo soy un tecato,,P
"Bebé tú eres mía, yo no comparto Y siempre te rompo to'a en mi cuarto",,P
"Imposible el celibato, sin ti me mato",,P
"Y tú eres mío, yo no comparto Hasta la muerte hicimos un pacto",,P
"Y siempre lo hacemos rico en mi cuarto, bebé Bebecita, bebecita",,P
Lo de nosotros es un secreto que nadie se entere,,N
"Baby yo siempre me vengo contigo cuando tú te viene' Pa' to' el mundo somos amigos y lo hacemos escondidos Y yo solo en mi cama, dios es el testigo",,P
Lo de nosotros es un secreto Pero siempre nos vemos Y todo mundo habla de nosotros,,P
"Pero siempre nos comemos Y tú me hiciste enloquecer, yeh eh Y contigo me siento bien, yeh eh",,P
Nadie nunca lo va saber Que tú eres mi mujer,,P
Y contigo no me quieren ver Pero nos vamos a esconder,,N
"Uah uah, bebé (Real Hasta La Muerte, baby) Dale, dale",,S
"Baby (Real Hasta La Muerte, baby)",,P
"Dale dale, eh",,S
"Bebesita (Uah uah) Bebesito,  uy",,P
" Bebecita Bebé, bebecita (Uah uah) Bebé, bebecita Bebecita",,P
"Uah uah, bebé",,S
"Maluma, baby",,S
"Ella no está buscando novio, Quiere salir a joder (Ey-yeah)",,P
Quiere olvidarse de ese bobo Porque el cabrón le fue infiel (Oh-no-no-no). Le rompieron el corazón y no busca a nadie que se lo reponga,,N
"Sólo quiere a alguien que se lo ponga, Ella quiere un man que no la llame y que no joda Pa' reemplazar al perro que no la valora, Quiere aprovechar que estar más buena es más de moda",,P
Empezó a meterle al gym desde que quedó sola. Las envidiosa' dicen que eso se lo hizo el cirujano Pero es ella misma queriendo salir del daño,,P
"Quiere salir, fumar, beber, Subir un video pa' que lo vea él, Pa' que se de cuenta de lo que perdió Pa' que el hijueputa se sienta peor",,P
"Quiere salir, fumar, beber, Subir un video pa' que lo vea él, Pa' que se de cuenta de lo que perdió Pa' que el hijueputa se sienta peor",,P
"Ella no está buscando novio, Quiere salir a joder (Ey-yeah)",,P
"Quiere olvidarse de ese bobo (Ey, yeah-yeah-yeah-yeah) Porque el cabrón le fue infiel (Oh-no-no-no)",,N
"Y cuando se suelta, No existe una amiguita que la pare. No quiere un novio pa' rendirle cuentas. No necesita ningún HP en el party, que la pare",,P
"Quiere salir, fumar, beber, Subir un video pa' que lo vea él, Pa' que se de cuenta de lo que perdió Pa' que el hijueputa se sienta peor",,P
"Quiere salir, fumar, beber, Subir un video pa' que lo vea él, Pa' que se de cuenta de lo que perdió Pa' que el hijueputa se sienta peor",,P
"Ella no está buscando novio, Quiere salir a joder (Ey-yeah)",,P
"Quiere olvidarse de ese bobo (Ey, yeah-yeah-yeah-yeah) Porque el cabrón le fue infiel (Oh-no-no-no)",,N
"Ella no está buscando novio, Quiere salir a joder (Ey-yeah) Para olvidarte de ese bobo",,N
"Cuenta conmigo, mujer, yeah-yeah, yeah-yeah",,P
Ten valor de decir (Valor de decir),,P
Que no quieres seguir. Si intentar no es el plan (Intentar no es el plan) Entonces ya te perdí,,N
"Extrañaré tus besos, sé que cada uno fue genuino (Oh oh, fue genuino), Mi amor fue real, pero al final siempre lo arruino (Siempre lo arruino). No puedo detenerte, pero si te vas",,N
"Llévame contigo (Woah, oh oh). Lo menos que quisiera es que se divida nuestro camino (Nuestro camino). ",,N
"No lo concibo de cualquier manera. Sin quererlo, siempre un pensamiento tuyo llega (Oh, eh eh)",,N
"Te amo y no quiero vivir en la soledad (Woah, woah)",,P
"Mi amor, te pido a gritos que le tengas piedad",,N
Ozuna (Yeah),,S
"Piedad, que mi amor por ti nunca se me va (Se me va). No sé qué es lo que pasa que ni se va la soledad (Soledad). Algún día sé que volverá.",,N
"Pero el que ama una vez, más nunca vuelve a amar. Quiero estar a tu lado, me tienes desesperado (Oh oh). Cuando salgo pa' la calle, todo lo he recordado (Eh eh eh)",,N
"No he olvidado ese momento que te tuve a mi lado. Si nacieras otra vez, quisiera haberte encontrado. No lo concibo de cualquier manera (Manera). Sin quererlo, siempre un pensamiento tuyo llega (Eh eh)",,N
"Te amo y no quiero vivir en la soledad (Oh oh, oh oh)",,P
"Mi amor, te pido a grito' que le tenga' piedad. Ten valor de decir (Valor de decir). Que no quieres seguir. Si intentar no es el plan (Intentar no es el plan) Entonces ya te perdí",,N
"Extrañaré tus besos, sé que cada uno fue genuino (Oh oh, fue genuino). Mi amor fue real, pero al final siempre lo arruino (Siempre lo arruino) No puedo detenerte, pero si te vas",,N
"Llévame contigo (Woah, oh oh) Lo menos que quisiera es que se divida nuestro camino (Nuestro camino)",,N
"Ozuna. Hydro. Alex Ki, jaja. Woah oh. Nibiru. Dímelo Vi. Woah, oh oh. Yeah",,S
Yeah,,P
"Tú me tienes loco, loco contigo. Yo trato y trato, pero baby, no te olvido (No te olvido). Yo trato y trato, pero baby, aquí yo sigo (Okay, okay).",,P
"Ma-, mam-, mami tú eres una champion. Ram-pa-pa-pam-pam con un booty fuera de lugar. Una cintura chiquita, mata la cancha. Tú estás fuera de lo normal (Yeah)",,P
Tú lo bates como la avena de abuela. Hay muchas mujeres pero tú ganas por fela'. Hay muchas mujures pero tú ganas por fela'. Enseñando mucho y todo por fuera,,P
"Tu diseñador no quiso gastar en la tela. Oh mamá, tú eres la fama. Estás conmigo y te vas mañana. Cuando lo mueves, todo me sanas",,P
"Eres mi antídoto cuando tengo ganas. Oh mamá, tú eres la fama",,P
Estás conmigo y te vas mañana,,N
"Cuando lo mueves, todo me sanas. Eres mi antídoto cuando tengo ganas. Tú me tienes loco, loco contigo",,P
"Yo trato y trato, pero baby, no te olvido (No te olvido)",,N
"Tú me tienes loco, loco contigo (Come on)",,P
"Yo trato y trato, pero baby, aquí yo sigo",,N
"Caliente, muy caliente",,S
"Tú me tienes loco, loco contigo",,P
"Yo trato y trato, pero baby, no te olvido (No te olvido)",,N
"Tú me tienes loco, loco contigo. Yo trato y trato, pero baby, aquí yo sigo. Tú pide lo que quieras, lo que quieras, lo que quieras (Yeah, yeah, yeah).  Que yo lo hago a tu manera, a tu manera, a tu manera",,P
"Dale mueve la camera como lo hacia Selena. Tú no tienes ataduras, vamo' a romper la cadena. Nadie entiende cómo este amor funciona. No se quiebra, no se dobla",,P
"Nada lo destrozará. Les presto mi cerebro que examinen. Anularte de mi mente, ni quemando mis neuronas. Mami, yo te amo hasta lo infinito.",,P
"Sólido como meteorito. Lo que siento jamás lo van a entender. Dudan, los expertos buscan la cura. Porque te quiero con locura",,P
"Desconfían que sea humano, mujer. Me someto a la ciencia con demoras. En mí, la testosterona solo se activa por ti. Vengan y háganme un estudio cerebral",,P
Porque mi conducta no es normal. Y este corazón Dios lo hizo eterno. Sepan que este sentimiento es inmortal. En el libro Guinness va a parar,,P
"Hombre que más ha amado a una hembra. Mami, yo te amo hasta lo infinito. Sólido como meteorito. Lo que siento jamás lo van a entender. Perpetuo, impecable como la luz",,P
La demencia de mi actitud. Te repito nadie me va a entender,,P
Llora,,N
"Mami, yo te amo hasta lo infinito. Sólido como meteorito. Lo que siento jamás lo van a entender. Dudan, los expertos buscan la cura. Porque te quiero con locura",,P
"Desconfían que sea humano, mujer. Me someto a la ciencia con demoras. En mí, la testosterona solo se activa por ti. Vengan y háganme un estudio cerebral",,P
Porque mi conducta no es normal,,N
Y este corazón Dios lo hizo eterno. Sepan que este sentimiento es inmortal. En el libro Guinness va a parar. Hombre que más ha amado a una hembra,,P
"Mami, yo te amo hasta lo infinito. Sólido como meteorito",,P
Lo que siento jamás lo van a entender,,N
"Perpetuo, impecable como la luz. La demencia de mi actitud. Te repito nadie me va a entender",,P
(Aventura),,S
"Lo ven superficial como un enigma. Que a mí me falta un tornillo, de remate y sin salida. Tu loco trastornado, mami mía",,N
"Yo te añoro y te valoro. Más que a mi propia vida. Yo te amo (Ay mami, yo te amo). Yo te amo (Hasta lo infinito mi amor). Yo (Hasta lo infinito, bebé) te amo (Oye, qué feeling mami)",,P
"Yo (Hasta lo infinito, bebé) te amo. Yo te amo",,P
"Aventura. J Balvin, men. El negocio socio",,S
"Ya me tienes contra la pared (Contra la pared). Pide una vez, pide dos, pide tres (Wuh). Otra vez llegamos hasta diez (Wuh-wuh-wuh).",,P
"Ya me tienes contra la pared (Contra la pared). Pide una vez, pide dos, pide tres (Wuh). Otra vez llegamos hasta diez ",,P
"Otra ve' llegamo' hasta die' (Sean Paul, yeah)",,P
"Fuego (Fuego, fuego). Fuego (Fuego, fuego)",,S
"Ya me tienes contra la pared. Pide una vez, pide dos, pide tres. Otra vez llegamos hasta diez. Ya me tienes contra la pared. Pide una vez, pide dos, pide tres (Wuh). Otra vez llegamos hasta diez (Wuh-wuh-wuh). Se nota ya",,P
"Ya me tienes contra la pared. Pide una vez, pide dos, pide tres (Wuh). Otra vez llegamos hasta diez (Wuh-wuh-wuh). Se nota ya",,P
Me pide un trago de fruta (Ajá),,S
"Yo sé cómo es que disfruta y cómo le gusta (A ella le gusta, a ella). Se nota. Se quita sola la ropa (Ropa). Se dio otro shot a la roca (Roca, roca). Sé que todo le provoca cuando se aloca (Tra)",,P
Fuego. Fuego.,,S
"No fue suficiente una vez (Na', na' uh-yeah)",,P
"Ya me tienes contra la pared. Pide una vez, pide dos, pide tres. Otra vez llegamos hasta diez",,P
"Ya me tienes contra la pared. Pide una vez, pide dos, pide tres. Otra vez llegamos hasta diez",,P
"Balvin, men. Sean Paul. Tainy. Hah",,S
No siento las horas cuando estoy contigo. Me encanta porque todo lo ves positivo. Amo tus lunares y tus cicatrices. Dime en este tiempo dónde te metiste,,P
Que no te podía encontrar,,N
No sé si fue Dios o tal vez fue el destino. Lo único que sé; vamos por buen camino. Que estaré contigo por todas las vidas. Recordar quien eres por si un día lo olvidas. Por ti haría eso y más,,P
"Y si no existieras yo te inventaría. Mismo corazón y la misma sonrisa. Eres mi razón, mi paz, mi sol, mi trigo. Simplemente gracias por estar conmigo.",,P
"Aquí están mis brazos, siéntete segura. Que para tus miedos yo tengo la cura. Eres lo que tanto a Dios yo le pedía. No voy a defraudarte, sólo en mi confía.",,P
Y si miras para el cielo y no hay estrellas. No me culpes. Pues te las merecías. Y si no existieras yo te inventaría. Mismo corazón y la misma sonrisa,,P
"Eres mi razón, mi paz, mi sol, mi trigo. Simplemente gracias por estar conmigo",,P
"Aquí están mis brazos, siéntete segura. Que para tus miedos yo tengo la cura. Eres lo que tanto a Dios yo le pedía. No voy a defraudarte, sólo en mi confía.",,P
Y si miras para el cielo y no hay estrellas. No me culpes. Pues te las merecías. ,,P
"Once de la noche y todavía no contesta. Una de la mañana, todavía no hay respuesta (Eh, eh). Dos de la mañana, me dice que está dispuesta (Eh-eh, eh)",,N
"Do' de la mañana, me dice que está dispuesta (Eh-eh, eh). Tres de la mañana, yo te tengo una propuesta. Cómo hacerte entender. Que conmigo tú te ves mejor (Dime)",,P
"Que en mi carro tú te ves mejor. El cuarto huele a Christian Dior. Eres muy bonita pa' llorar por él. No merece que seas fiel. Ni tampoco tu piel, bebé",,P
Cómo hacerte entender. Que conmigo tú te ves mejor. Que en mi carro tú te ves mejor. El cuarto huele a Christian Dior. Eres muy bonita pa' llorar por él,,P
"No merece que seas fiel Ni tampoco tu piel, oh-oh-oh",,P
"Él no va a extrañarte. Tampoco va a pensarte. Dice que está ocupado en cosas más importantes. La nube que no deja ver el sol brillante. No lo dejes que te apague, yeh. No lo dejes que te apague",,N
Cómo hacerte entender. Que conmigo tú te ves mejor. Que en mi carro tú te ves mejor. El cuarto huele a Christian Dior. Eres muy bonita pa' llorar por él,,P
"No merece que seas fiel (No merece que seas fiel). Ni tampoco tu piel, oh, oh (No, no, no). Once de la noche y todavía no contesta (Yeh, yeh, yeh). Una de la mañana, todavía no hay respuesta (Oh, no, no, no-oh)",,N
"Do' de la mañana, me dice que está dispuesta (Ye-yeh). Tres de la mañana, yo te tengo una propuesta (Dime). ",,P
Cómo hacerte entender. Que conmigo tú te ves mejor. Que en mi carro tú te ves mejor. El cuarto huele a Christian Dior. Eres muy bonita pa' llorar por él,,P
"No merece que seas fiel (No merece que seas fiel). Ni tampoco tu piel, oh, oh (No, no, no).",,N
Cómo hacerte entender. Que conmigo tú te ves mejor. Que en mi carro tú te ves mejor. El cuarto huele a Christian Dior. Eres muy bonita pa' llorar por él,,P
"No merece que seas fiel (No merece que seas fiel). Ni tampoco tu piel, oh, oh (No, no, no).",,N
"Ni tampoco tu piel, oh-oh-oh",,N
"Tú sabe' a lo que vamos. Cuando tú y yo nos juntamos, baby. Dice que no fuma, pero si yo prendo, ella le da, ella le da. Entraba a las discotecas sin tener la edad, uh yeh. ",,P
"Traigan las botellas que ella quiere celebrar, celebrar. Si pasa un mal rato, enrola uno y se le va. Eso le da, cuando está en la soledad",,P
"Se castiga sin piedad, tú te vienes y te vas (Te vas)",,N
"Ella y las amigas son una sociedad. Y sabes lo que va a pasar, con los míos si se da",,P
"Eso le da, cuando está en la soledad. Y sabes lo que va a pasar, con los míos si se da",,N
"Ella y las amigas son una sociedad. Y sabes lo que va a pasar, con los míos si se da",,P
"La mai también 'tá dura, y eso ella lo va a heredar. Estos bobos me tiran, después quieren arreglar",,P
La envidian pero saben que no le van a llegar,,N
"A mí me da igual lo que ellos quieran alegar. 'Tamos bebiendo Cognac, y quemando moñas. En billetes de 100 es que ella desenmoña. Las otras bailando a tu lao' parecen momias",,P
"Y a mí no se me olvida como yo te comía. Todavía eres mía. Eso era, cuáles son tus fantasías. Y yo sin pensarlo baby te lo hacía. Yo te doy lo que tú exijas",,P
"La champaña está fría. Oye si tú la dejas, ella sola la vacía. Yo te doy lo que tú pidas. Pero no te me aproveches. En una semana, la vi como ocho vece'. Dónde quieres que te escriba",,P
Frente a la gente no dejo que me bese',,N
Yo te doy lo que tú pidas,,P
Pero no te me aproveches,,N
"En una semana, la vi como ocho vece'. Dónde quieres que te escriba. Dónde quieres que te escriba",,P
"Frente a la gente no dejo que me bese' (Bum bum). Eso le da, cuando está en la soledad. Se castiga sin piedad, tú te vienes y te vas (Te vas)",,N
"Ella y las amigas son una sociedad. Y sabes lo que va a pasar, con los míos si se da (Young Kingz)",,P
"Eso le da, cuando está en la soledad. Se castiga sin piedad, tú te vienes y te vas",,N
"Ella y las amigas son una sociedad. Y sabes lo que va a pasar, con los míos si se da (Pi ri ia ya ya) (Farru). Porque ando con par de pesos, yo contigo los exploto (Bum)",,P
"Dile a tu amiga que deje de estar grabando. Que no sea peliculera, y deje de estar tirando fotos",,P
Que andamos rulay,,S
Pide que hay. Aquí tengo par de moña' y el blont me lo bajo en rye (Bum bum bum). La ganja anda activa. Yo también activo,,P
Yo estoy loco 'e pillarla y de guayarle el estribo. A ver sí como ronca se menea la abusadora (-busadora). Estoy que la secuestro y me la llevo de aquí ahora. ,,P
A ver si es verdad que ella esta pa' mí. O se pegó a chapiar al VIP,,P
Y no caliente la comida si no te la vas a comer,,N
"Ya tú no eres una nena, baby tú eres una mujer. Sabes que si me pegó tú tienes que ir a to'a",,P
"(Dime háblame claro si se da nos vamo' a to'a) (Young Kingz, baby)",,S
"Dice que no fuma, pero si yo prendo, ella le da, ella le da (Le da). Entraba a las discotecas sin tener la edad, uh yeh (Bum). Traigan las botellas que ella quiere celebrar, celebrar. Si pasa un mal rato, enrola uno y se le va",,P
"Eso le da, cuando está en la soledad. Se castiga sin piedad, tú te vienes y te vas",,N
"Ella y las amigas son una sociedad. Y sabes lo que va a pasar, con los míos si se da (Bum bum)",,P
"Eso le da, cuando está en la soledad. Se castiga sin piedad, tú te vienes y te vas (Te vas)",,N
"Ella y las amigas son una sociedad. Y sabes lo que va a pasar, con los míos si se da (Bum bum)",,P
"Tú sabe' a lo que vamo'. Cuando tú y yo nos juntamo', baby (Ya ya ya)",,P
"No lo trates, no (Natti Natasha). No me trates de engañar (Pitbull). Sé que tú tienes a otra (Natti, mami). Y a mí me quieres para hmmm. ",,N
"Ya no vendo humo, contigo he sido real. Fabricarme un caso es ilegal. Ese chisme me lo fumo, tu opinión voy a quemar",,N
"No estoy hablando de guardia, pero tú eres la oficial. Esperando porque a ninguna le hablé. Estoy en libertad y no le he da'o cable. Tengo el récord limpio, no soy culpable",,P
"Yo vivo a mi manera. Te doy tablazo y me pides madera. Me dice Colón, plantando bandera. Tú hablas como si me conocieras. ",,P
"No lo trates, no.  No me trates de engañar. Sé que tú tienes a otra. Y a mí me quieres para hmmm. Aquí no hay jueguitos, hablamos clarito",,N
"Y lo hacemos bien rico. Cuentas clarita', amiguita, me tienes loquito. Con esa sayita, qué rica mijita. Mami, estás dura como la raspita",,P
Tan caliente que tú salpicas. Aquí no hay mentiras.,,P
"No lo trates, no.  No me trates de engañar. Sé que tú tienes a otra. Y a mí me quieres para hmmm. Aquí no hay jueguitos, hablamos clarito",,N
"Quieres ser mi amor, y me dices que eres sincero, oh. Me pide por favor, me promete el mundo entero, oh. Sé cuál es mi valor, y no quiero a un bandolero, oh. Tengo un corazón y merezco un amor de un hombre real",,P
Estoy lista pa' bailar. Estoy lista para gozar. Estoy lista pero dime,,P
"No lo trates, no.  No me trates de engañar. Sé que tú tienes a otra. Y a mí me quieres para hmmm.",,N
Yo no te engañé,,N
"Mamita, tú sabes lo que es. ('Ta inventando pa' ver si confieso)",,P
Yo no te engañé,,N
"Amiga, tú sabes lo que es",,P
('Ta inventando pa' ver si confieso),,N
"Ey, Ey, Natti, Natti, Natti. Pitbull. ",,S
"Hay una diferencia entre una flor. Y las hojas que la rodean. Y las hojas que la rodean. Tú estás en mis pensamientos. Aunque yo no quiera, te pienso (Oh oh)",,P
"Soy persona de ignorar sentimientos. Pero tú eres la excepción (excepción). Mi mente dice sí, pero mi corazón dice no (No, no). ",,P
"Y aunque todo sale a la luz, solo te quería decir (Oh oh, oh oh). Anoche te soñé de nuevo. Y quiero que se repita otra vez, pero en persona. En mi mente tienes un enredo (Tienes un enredo). ",,P
"Dime si visitarte puedo (Visitarte puedo). Y es que anoche te soñé de nuevo (Te soñé de nuevo). Y quiero que se repita otra vez, pero en persona. En mi mente tienes un enredo (Tienes un enredo)",,P
"Dime si visitarte puedo (Oh oh oh). Es que anoche yo soñé contigo. Era real, yo te tocaba (Woah oh). Y tú decía que tu cuerpo es mío (Es mío). Que somos amigos, pero que me deseabas (Amigos). ",,P
"Lo noto cuando a ella yo la miro. Rápido como rafagazo de una cuarentona (Cuarentona). Se moja de que alguna bebé mi nombre menciona. Tiene sed, quiere beber de mi río de Amazonas (Amazonas). ",,P
"Tiene un Digger rosado que nunca lo tiene en hora (Oh oh, oh oh)",,S
Mi bebé. Lo que soñé lo quiero hacer (Mi bebé). Tú bésame. Y recordemos aquella vez (Bésame). Mi bebé. Lo que soñé lo quiero hacer (Mi bebé). ,,P
"Tú bésame. Y recordemos aquella vez (Bésame, oh, yeah, yeah). Anoche te soñé de nuevo. Y quiero que se repita otra vez, pero en persona. En mi mente tienes un enredo (Tienes un enredo)",,P
"Dime si visitarte puedo (Visitarte puedo). Y es que anoche te soñé de nuevo (Te soñé de nuevo). Y quiero que se repita otra vez, pero en persona. En mi mente tienes un enredo (Tienes un enredo)",,P
"Dime si visitarte puedo (Oh oh oh). Tú estás en mis pensamientos. Aunque yo no quiera, te pienso (Oh oh, oh oh). Soy persona de ignorar sentimientos. Pero tú eres la excepción (Excepción)",,P
"Mi mente dice sí, pero mi corazón dice no (No, dice no). Y aunque todo sale a la luz, solo te quería decir. Anoche te soñé de nuevo (Te soñé de nuevo). Y quiero que se repita otra vez, pero en persona.",,P
"En mi mente tienes un enredo (Tienes un enredo). Dime si visitarte puedo (Visitarte puedo, oh oh). Y es que anoche te soñé de nuevo (Te soñé de nuevo). Y quiero que se repita otra vez, pero en persona. ",,P
"En mi mente tienes un enredo (Tienes un enredo). Dime si visitarte puedo, woah oh, oh oh",,P
"El Negrito Ojos Claros (Claros, claros). Dime si visitarte puedo, woah oh, oh oh. Díselo, Luian (Díselo Luian, díselo Luian). Mambo Kingz (Mambo Kingz)",,S
"Anoche te soñé de nuevo (De nuevo, nuevo)",,P
De nuevo (Nuevo). Jowny (Jowny). Dímelo Vi (Dimelo Vi). ,,S
Yo no puedo compartirte. Eres como la clave de mi celular,,N
"Es necesario decirte. Yo te quiero para mí. No te quiero para más nadie. Sólita para mí, no te comparto con nadie ",,P
A mano armada fue que te robe. Y el como un loco anda buscándote,,N
Yo te quiero para mí,,P
"No te quiero para más nadie. Sólita para mí, no te comparto con nadie. A mano armada fue que te robe. Y el como un loco anda buscándote. Que te siga buscando, que él no te va a encontrar",,N
"Ahora estas conmigo y él no te va a tocar. Y que no trate de forzar, por que le puede costar. Y aunque no tenga sueño, lo podemos acostar. Esto es sin hablar, porque no soy de roncar",,N
"Pero tú eres mía, lo tiene que aceptar. Esto es sin hablar, porque no soy de roncar",,P
"Y solamente él te puede imaginar. Que te siga buscando, que él no te va a encontrar",,N
Ahora estas conmigo y él no te va a tocar,,P
"Y que no trate de forzar, por que le puede costar. Y aunque no tenga sueño, lo podemos acostar",,N
Yo te quiero para mí,,P
"No te quiero para más nadie. Sólita para mí, no te comparto con nadie.  A mano armada fue que te robe}. Y el como un loco anda buscándote. Yo te quiero para mí",,N
"No te quiero para más nadie. Sólita para mí, no te comparto con nadie. A mano armada fue que te robe. Y el como un loco anda buscándote. Que ahora yo soy él que te lo pone",,N
"A ti sin condones y ya no lo puede evitar. Y si le duele que lo abandones. A mí sin cojones, para que no te supo cuidar. Baby solo apaga tu teléfono.",,N
"Ponte las Balenciagas, dale vamonos. Cojamos carreteras y perdámonos. Y como canivales, ma comámonos. Y como canivales, ma comámonos. Que ahora yo soy el que te lo pone",,P
"A ti sin condones y ya no lo puede evitar. Y si le duele que lo abandones. A mí sin cojones, para que no te supo cuidar. Yo no puedo compartirte. Eres como la clave de mi celular",,N
"Es necesario decirte, que",,P
"Yo te quiero para mí. No te quiero para más nadie. Sólita para mí, no te comparto con nadie. A mano armada fue que te robe. Y el como un loco anda buscándote",,N
"Yo te quiero para mí. No te quiero para más nadie. Sólita para mí, no te comparto con nadie. A mano armada fue que te robe. Y el como un loco anda buscándote",,N
Música refrescante bebe,,P
"Rafa Pabon. Dímelo Flow. Rich Music, Rich Music ",,S
Yo te quiero para mí. Yo te conocí en primavera. Me miraste tú de primera. De un verano eterno me enamoré,,P
"Y esa despedida en septiembre. En octubre sí que se siente. Noviembre sin ti me dolió también. Llegará diciembre, sigues en mi mente",,N
Fueron seis meses y por fin volveré a verte. Llegará febrero y yo seré el primero. En darte flores y decirte que te quiero. ,,P
Puede que pase un año más de una vez. Sin que te pueda ver,,N
Pero el amor es más fuerte,,P
Puede que el tiempo nos aleje otra vez. Sin saber dónde estés,,N
Pero el amor es más fuerte,,P
"Uoh-oh-oh, oh-oh, oh-oh",,S
"Te esperaré porque el amor es más fuerte. Ya le dije a mis amigo'. Yo no necesito a nadie, sólo tú estás en mi mente. Mil kilómetros se restan cuando dos almas se suman. ",,P
"A los lejos puedo ver. Sólo pienso, sólo pienso en ti. Sólo pienso, sólo pienso en ti. Ya mis primos saben tu apellido. Que por ti yo estoy perdido. Espero que también te pase a ti",,P
"Llegará diciembre, sigues en mi mente. Fueron seis meses y por fin volveré a verte. Llegará febrero y yo seré el primero En darte flores y decirte que te quiero",,P
Puede que pase un año más de una vez. Sin que te pueda ver,,N
Pero el amor es más fuerte,,P
Puede que el tiempo nos aleje otra vez. Sin saber dónde estés,,N
Pero el amor es más fuerte,,P
"Oh-oh-oh, oh-oh, oh-oh",,S
Te esperaré porque el amor es más fuerte,,P
"Oh-oh-oh, oh-oh, oh-oh",,S
"Te esperaré porque el amor es más fuerte. Yo te conocí en primavera. Me miraste tú de primera. Es tu alma la gemela de mi alma que me calma. Complementa mis sentidos, me desarma",,P
Chaparrita tan bonita la cintura redondita. El mundo yo quiero darte. Y me muero por besarte. Encantadora. La carcajada de tu risa me enamora. Esa mirada me conquista a todas horas,,P
"No te vayas, no te alejes, te lo pido. No me dejes, en tu ausencia yo no vivo. Por tu amor es que respiro. Tú mi cielo. De mi cielo la estrella que más anhelo. Por llegar hasta tu brazo me desvelo",,P
"Quien te mira, quien te viera tan güera tu cabellera. Y esa piel de color rosa. De todas la más hermosa. Encantadora. La carcajada de tu risa me enamora. Esa mirada me conquista a todas horas.",,P
"No te vayas, no te alejes, te lo pido. No me dejes, en tu ausencia yo no vivo",,N
"Por tu amor es que respiro. Tú mi cielo. De mi cielo la estrella que más anhelo. Por llegar hasta tu brazo me desvelo. Quien te mira, quien te viera tan güera tu cabellera. Y esa piel de color rosa",,P
De todas la más hermosa. Tengo tantas cosas que decirte amor. Todo lo que tú me has dado. Es lo que yo había soñado,,P
"Eres todo para mí, oh sí. Todo te lo debo a ti. Eres la razón de mi existir. Siempre buscas más detalles. Que me hagan feliz. Detalles que llenan de amor para mí. Eres el amor perfecto",,P
"Eres lo que yo más quiero. Gracias por ser como eres. Gracias por tú amor. Quiero que sepas que nuestro amor. Nadie lo rompe, solamente Dios. Todo es hermoso a tu alrededor",,P
"Tú le das vida a mi corazón. Ven a mis brazos dame tú calor. Quiero sentir la fuerza de tú amor. Quiero abrazarte, quiero besarte. Hoy quiero darte las gracias. Gracias por tu amor",,P
"Quiero que sepas que nuestro amor. Nadie lo rompe, solamente dios. Todo es hermoso a tu alrededor. Tú le das vida a mi corazón. Ven a mis brazos dame tú calor. Quiero sentir la fuerza de tú amor",,P
"Quiero abrazarte, quiero besarte. Hoy quiero darte las gracias. Gracias por tu amor",,P
La escuela nunca me gustó,,N
Aún recuerdo aquellos tiempos de la prepa,,S
Ya traía un billetón,,P
Desmadroso desde morro,,N
"Ya, ni modo, esta vida me tocó. Y, aquí andamos al millón",,P
Bien placoso y malandrón. Tengo rayas en el cuerpo,,N
